Search keyword,Ad group,Ad group ID,Quality Score,Impr.,Clicks,CTR,Currency code,Cost,Avg. CPC,Impr. (Abs. Top) %,Impr. (Top) %,% Engaged sessions (GA4),Avg. engagement duration per session (seconds) (GA4)
abklärung adhs,1. ADHS Diagnose und Abklärung,166267251732,--,21,2,9.52%,CHF,3.29,1.65,19.05%,66.67%,100%,111.5
achtsamkeitsübungen für kinder mit adhs,3. ADHS Unterstützung/Förderung,167850042184,--,1,0,0%,CHF,0,0,0%,0%,--,--
adhs abklären,1. ADHS Diagnose und Abklärung,166267251732,5,115,6,5.22%,CHF,8.04,1.34,46.43%,69.64%,75%,16.75
adhs abklärung ab welchem alter,1. ADHS Diagnose und Abklärung,166267251732,3,1,1,100%,CHF,2.09,2.09,100%,100%,--,--
adhs aggressivität kinder,4. Verhaltensbeobachtungen,161083923036,--,31,4,12.9%,CHF,4.09,1.02,32%,80%,50%,8.5
adhs alltag tipps,5. ADHS im Alltag & Apps,161084047596,--,2,0,0%,CHF,0,0,50%,50%,--,--
adhs angststörung kind,1. ADHS Diagnose und Abklärung,166267251732,1,1,0,0%,CHF,0,0,0%,0%,--,--
adhs app,5. ADHS im Alltag & Apps,161084047596,7,844,66,7.82%,CHF,108.6,1.65,39.94%,62.14%,57.14%,46.39
adhs app für jugendliche,5. ADHS im Alltag & Apps,161084047596,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs behandlung,2. ADHS Therapie,161871724020,5,3993,241,6.04%,CHF,325.51,1.35,31.78%,74.36%,62.5%,31.86
adhs bei jugendlichen,7. ADHS Allgemein,160587633826,5,247,20,8.1%,CHF,28.79,1.44,34.42%,58.6%,57.14%,29.64
adhs bei kindern erkennen,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs bei kindern feststellen,1. ADHS Diagnose und Abklärung,166267251732,--,4,0,0%,CHF,0,0,0%,0%,--,--
adhs bei kindern natürlich behandeln,5. ADHS im Alltag & Apps,161084047596,--,6,1,16.67%,CHF,0.52,0.52,20%,80%,--,--
adhs bei kindern umgang,5. ADHS im Alltag & Apps,161084047596,--,1,0,0%,CHF,0,0,0%,100%,--,--
adhs bei kindern was tun,5. ADHS im Alltag & Apps,161084047596,7,434,55,12.67%,CHF,64.48,1.17,33.62%,68.7%,65.85%,31.46
adhs bei mädchen,7. ADHS Allgemein,160587633826,7,140,12,8.57%,CHF,16.16,1.35,44.74%,65.79%,60%,22.1
adhs bei mädchen in der pubertät,7. ADHS Allgemein,160587633826,5,2,0,0%,CHF,0,0,0%,0%,--,--
adhs bei teenagern,7. ADHS Allgemein,160587633826,--,25,2,8%,CHF,2.64,1.32,25%,60%,50%,8.5
adhs beratung,6. ADHS Beratung & Coaching,161872394580,5,6998,368,5.26%,CHF,683.45,1.86,35.06%,76.07%,61.85%,29.09
